Time,Actual total load[MW],Forecasted total load[MW]
01.01.2020 01:00,15000,
01.01.2020 02:00,14400,
01.01.2020 03:00,13800,
01.01.2020 04:00,13400,
01.01.2020 05:00,13200,
01.01.2020 06:00,13100,
01.01.2020 07:00,13300,
01.01.2020 08:00,13100,
01.01.2020 09:00,13300,
01.01.2020 10:00,13900,
01.01.2020 11:00,14500,
01.01.2020 12:00,15000,
01.01.2020 13:00,15400,
01.01.2020 14:00,15700,
01.01.2020 15:00,15700,
01.01.2020 16:00,16400,
01.01.2020 17:00,17500,
01.01.2020 18:00,17600,
01.01.2020 19:00,17700,
01.01.2020 20:00,17700,
01.01.2020 21:00,17400,
01.01.2020 22:00,16600,
01.01.2020 23:00,15900,
02.01.2020 00:00,14800,
02.01.2020 01:00,13875,
02.01.2020 02:00,13447,
02.01.2020 03:00,13247,
02.01.2020 04:00,13325,
02.01.2020 05:00,13727,
02.01.2020 06:00,14804,
02.01.2020 07:00,17128,
02.01.2020 08:00,19225,
02.01.2020 09:00,20399,
02.01.2020 10:00,21202,
02.01.2020 11:00,21460,
02.01.2020 12:00,21723,
02.01.2020 13:00,21860,
02.01.2020 14:00,21939,
02.01.2020 15:00,21658,
02.01.2020 16:00,21822,
02.01.2020 17:00,22663,
02.01.2020 18:00,22633,
02.01.2020 19:00,22355,
02.01.2020 20:00,22203,
02.01.2020 21:00,21600,
02.01.2020 22:00,20297,
02.01.2020 23:00,18843,
03.01.2020 00:00,17260,
03.01.2020 01:00,15919,
03.01.2020 02:00,15268,
03.01.2020 03:00,14990,
03.01.2020 04:00,14987,
03.01.2020 05:00,15199,
03.01.2020 06:00,15959,
03.01.2020 07:00,18155,
03.01.2020 08:00,20048,
03.01.2020 09:00,21041,
03.01.2020 10:00,21596,
03.01.2020 11:00,21653,
03.01.2020 12:00,21723,
03.01.2020 13:00,21764,
03.01.2020 14:00,21816,
03.01.2020 15:00,21381,
03.01.2020 16:00,21483,
03.01.2020 17:00,22500,
03.01.2020 18:00,22508,
03.01.2020 19:00,22167,
03.01.2020 20:00,21935,
03.01.2020 21:00,21219,
03.01.2020 22:00,19924,
03.01.2020 23:00,18508,
04.01.2020 00:00,17063,
04.01.2020 01:00,16896,
04.01.2020 02:00,16356,
04.01.2020 03:00,16013,
04.01.2020 04:00,15930,
04.01.2020 05:00,16008,
04.01.2020 06:00,16208,
04.01.2020 07:00,17163,
04.01.2020 08:00,18026,
04.01.2020 09:00,18579,
04.01.2020 10:00,19844,
04.01.2020 11:00,19971,
04.01.2020 12:00,20294,
04.01.2020 13:00,20329,
04.01.2020 14:00,20305,
04.01.2020 15:00,19970,
04.01.2020 16:00,20066,
04.01.2020 17:00,20979,
04.01.2020 18:00,20913,
