Datetime;Temperature;Pressure;Relative_humidity;Vapor_pressure;Wind_speed;Airtight
01.07.2021 00:10;15.3;994.66;88.0;15.32;0.52;1194.25
01.07.2021 00:20;15.16;994.6;89.9;15.51;0.56;1194.67
01.07.2021 00:30;15.18;994.56;90.9;15.71;1.09;1194.45
01.07.2021 00:40;15.73;994.55;86.7;15.52;1.09;1192.25
01.07.2021 00:50;16.18;994.58;84.3;15.53;1.28;1190.43
01.07.2021 01:00;16.37;994.61;83.4;15.55;1.21;1189.67
01.07.2021 01:10;16.44;994.7;83.2;15.58;1.52;1189.48
01.07.2021 01:20;16.47;994.67;83.1;15.59;1.67;1189.31
01.07.2021 01:30;16.39;994.66;83.4;15.57;1.46;1189.65
01.07.2021 01:40;16.26;994.72;84.0;15.55;1.62;1190.25
01.07.2021 01:50;16.19;994.74;84.6;15.59;1.25;1190.55
01.07.2021 02:00;16.21;994.73;84.5;15.6;1.47;1190.46
01.07.2021 02:10;16.17;994.76;85.2;15.68;1.35;1190.61
01.07.2021 02:20;16.16;994.79;85.1;15.66;1.24;1190.71
01.07.2021 02:30;16.2;994.8;85.0;15.68;1.21;1190.55
01.07.2021 02:40;16.22;994.74;84.9;15.68;1.76;1190.39
01.07.2021 02:50;16.24;994.69;85.1;15.74;1.47;1190.22
01.07.2021 03:00;16.2;994.7;85.4;15.75;1.46;1190.39
01.07.2021 03:10;16.18;994.62;85.3;15.71;1.69;1190.39
01.07.2021 03:20;16.15;994.59;85.4;15.7;1.47;1190.48
01.07.2021 03:30;16.12;994.59;85.7;15.73;1.33;1190.6
01.07.2021 03:40;16.09;994.61;86.3;15.81;1.72;1190.71
01.07.2021 03:50;15.68;994.62;90.9;16.22;2.24;1192.23
01.07.2021 04:00;15.24;994.55;94.9;16.46;1.45;1193.85
01.07.2021 04:10;15.07;994.5;96.4;16.54;1.43;1194.46
01.07.2021 04:20;15.04;994.5;96.8;16.57;1.33;1194.56
01.07.2021 04:30;15.01;994.44;97.2;16.61;1.5;1194.6
01.07.2021 04:40;15.06;994.48;96.8;16.6;1.67;1194.45
01.07.2021 04:50;15.16;994.46;95.2;16.43;1.75;1194.08
01.07.2021 05:00;15.19;994.45;95.0;16.42;1.06;1193.95
01.07.2021 05:10;15.24;994.54;94.5;16.39;0.93;1193.86
01.07.2021 05:20;15.31;994.54;93.9;16.36;1.23;1193.59
01.07.2021 05:30;15.39;994.57;93.3;16.34;1.27;1193.3
01.07.2021 05:40;15.55;994.56;92.4;16.35;1.52;1192.63
01.07.2021 05:50;15.74;994.61;91.9;16.46;1.4;1191.86
01.07.2021 06:00;15.85;994.66;90.2;16.27;2.09;1191.55
01.07.2021 06:10;15.94;994.68;89.4;16.22;1.8;1191.22
01.07.2021 06:20;15.99;994.7;88.4;16.09;2.03;1191.11
01.07.2021 06:30;15.91;994.92;90.0;16.3;2.65;1191.6
01.07.2021 06:40;15.43;995.01;91.8;16.12;2.88;1193.78
01.07.2021 06:50;14.8;995.06;95.6;16.12;2.61;1196.44
01.07.2021 07:00;14.64;995.12;97.3;16.24;2.43;1197.13
